AnimationName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
ANIM/PNGTuber-Idle2,PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber 闲置 2,PNGTuber 閒置 2,PNGTuber Idle 2,PNGTuber inactivo 2,PNGTuber Inactif 2,PNGTuber Idle 2,PNGTuber 待機 2,2D 버튜버 (대기) 2,PNG-tuber в покое 2,PNGTuber Inativo 2,PNGTuber Idle 2,PNGTuber Inattivo 2,PNGTuber Idle 2,PNGTuber Sabit 2,PNGtuber Idle 2,PNGTuber Idle 2
ANIM/PNGTuber-Loading,PNGTuber Loading,PNGTuber Loading,PNGTuber 加载中,PNGTuber 載入中,PNGTuber wird geladen,Cargando PNGTuber,PNGTuber Chargement,PNGTuber betöltése,PNGTuber ロード中,PNGTuber 로드 중,PNGTuber Загрузка,Carregando PNGTuber,PNG Tuber Завантаження,Caricamento PNGTuber,กำลังโหลด PNGTuber,PNGTuber Yükleniyor,PNGtuber laddar,Načítava sa PNGTuber
ANIM/PNGTuber-Talk,PNGTuber Talk,PNGTuber Talk,PNGTuber 说话,PNGTuber 說話,PNGTuber Reden,Charla de Tuber,PNGTuber Parler,PNGTuber Talk,PNGTuber トーク,2D 버튜버 (말하기),PNG-tuber говорит,PNGTuber Falando,PNG Tuber Talk,PNGTuber Parla,PNGTuber พูดคุย,PNGTuber Konuş,PNGtuber Talk,PNGTuber Talk
ANIM/PNGTuber-Talk2,PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber 说话 2,PNGTuber 說話 2,PNGTuber Reden 2,Charla de Tuber 2,PNGTuber Parler 2,PNGTuber Talk 2,PNGTuber トーク 2,2D 버튜버 (말하기) 2,PNG-tuber говорит 2,PNGTuber Falando 2,PNG Tuber Talk 2,PNGTuber Parla 2,PNGTuber พูดคุย 2,PNGTuber Konuş 2,PNGtuber Talk 2,PNGTuber Talk 2
ANIM/PNGTuber-Yap,PNGTuber Yap,PNGTuber Yap,PNGTuber 说教,PNGTuber 說教,PNGTuber Yappen,PNGTuber Yap,PNGTuber Jacasser,PNGTuber Yap,PNGTuber おしゃべり,2D 버튜버 (수다),PNG-tuber тявканье,PNGTuber Conversando,PNGTuber Yap,PNGTuber Già,PNGTuber โวย,PNGTuber Boş Yap,PNGtuber Yap,PNGTuber Yap
ANIM/Popcat-Frame,Popcat Frame,Popcat Frame,Popcat 帧,Popcat 幀,Popcat Standbild,Marco de gato pop,Popcat Frame,Popcat keret,パクパク猫（コマ送り）,팝캣 (프레임),Попкэт по кадрам,Popcat Frame,Рамка Popcat,Cornice Popcat,Popcat Frame,Popcat Düz,Popcat ram,Popcat Frame
ANIM/Popcat-Smooth,Popcat Smooth,Popcat Smooth,Popcat 平滑,Popcat 平滑,Popcat Animiert,Gato suave,Popcat Animé,Popcat Smooth,パクパク猫（なめらか）,팝캣 (부드러움),Попкэт плавный,Popcat Suave,Popcat Smooth,Popcat liscio,Popcat Smooth,Popcat Akışkan,Popcat Smidig,Popcat Smooth
ANIM/Sing,Sing,Sing,唱歌,唱歌,Singen,Cantar,Chanter,Énekel,歌う,노래하기,Пение,Cantando,Співай,Cantare,ร้องเพลง,Şarkı Söyle,Sjunga,Spievajte
ANIM/Tablet,Tablet,Tablet,画板,繪圖板,Tablet,Tableta,Tablette,Tabletta,タブレット,타블렛,Графический планшет,Tablet,планшет,Tavoletta,แท็บเล็ตวาดรูป,Çizim Tableti,Tablett,Tablet
ANIM/TailWag,Tail Wag,Tail Wag,雨刮器尾巴,雨刷尾巴,Schwanzwedeln,Meneo de cola,Remuer la queue,Tail Wag,しっぽ振り,꼬리 흔들기,Виляние хвостом,Balançando a cauda,Виляння хвостом,Scodinzolare,กระดิกหาง,Kuyruk Salla,Svansvifta,Chvost Wag
ANIM/Bug,Bug,Bug,Bug,Bug,Insekt,Bicho,Beug,Bogár,虫,벌레,Ошибка,Erro,помилка,Insetto,แมลง,Böcek,Bugga,Bug
ANIM/Cheer,Cheer,Cheer,加油,加油,Jubeln,Alegría,Encouragement,Éljenzés,応援,환호,Радость,Alegrar,Розвеселити,Allegria,เชียร์,Tezahürat,Hurra,Na zdravie
ANIM/Easter,Easter,Easter,复活节,復活節,Ostern,Pascua de Resurrección,Pâques,húsvéti,イースター,부활절,Пасха,Páscoa,Великдень,Pasqua,อีสเตอร์,Paskalya,påsk,Veľká noc
ANIM/Gun-TriggerHappy,Gun,Gun,枪,槍,Pistole,Pistola,Pistolet,Pisztoly,銃,총,Пистолет,Pistola,пістолет,Pistola,ปืน,Silah,Pistol,Pištoľ
ANIM/Idea,Idea,Idea,主意,主意,Idee,Idea,Idée,Ötlet,ひらめき,아이디어,Идея,Ideia,Ідея,Idea,ความคิด,Buldum,Aning,Idea
ANIM/Megaphone,Megaphone,Megaphone,扩音器,擴音器,Megaphon,Megáfono,Mégaphone,Megafon,メガホン,메가폰,Мегафон,Megafone,Мегафон,Megafono,โทรโข่ง,Megafon,Megafon,Megafón
ANIM/PaidBreak-EasyMode,Paid Break (Easy Mode),Paid Break (Easy Mode),带薪拉屎(简单模式),帶薪拉屎(簡單模式),Bezahlte Pause (einfacher Modus),Descanso pagado (modo fácil),Pause Toilettes (Mode Facile),Fizetett szünet (Easy Mode),トイレ休憩（スマホ）,유급 휴식(쉬움 모드),Оплачиваемый перерыв (простой режим),Pausa Paga (Modo Fácil),Оплачувана перерва (легкий режим),Pausa retribuita (modalità facile),แบ่งจ่าย (โหมดง่าย),Küçük Abdest,Betald paus (enkelt läge),Platená prestávka (jednoduchý režim)
ANIM/PaidBreak-HardMode,Paid Break (Hard Mode),Paid Break (Hard Mode),带薪拉屎(困难模式),帶薪拉屎(困難模式),Bezahlte Pause (harter Modus),Descanso pagado (modo difícil),Pause Toilettes (Mode Difficile),Fizetett szünet (kemény mód),トイレ休憩（大）,유급 휴식(하드 모드),Оплачиваемый перерыв (сложный режим),Pausa Paga (Modo Difícil),Оплачувана перерва (важкий режим),Pausa retribuita (modalità difficile),แบ่งจ่าย (โหมดฮาร์ด),Büyük Abdest,Betald paus (hårt läge),Platená prestávka (tvrdý režim)
ANIM/Spray,Spray,Spray,喷剂,噴劑,Spray,Pulverización,Pulvérisation,Permet,スプレー缶,스프레이,Спрей,Pulverizar,Спрей,Spray,สเปรย์,Sprey,Spray,Striekajte
ANIM/StopsWorking,Stops Working,Stops Working,停止工作,停止工作,Funktioniert nicht mehr,Deja de funcionar,Cesser de Fonctionner,Leállítja a munkát,動作停止,작동이 중지됨,Перестает работать,Para de funcionar,Припиняє працювати,Smette di funzionare,หยุดทำงาน,Hata Verdim,Slutar fungera,Prestane pracovať
ANIM/Sunglasses-Gleam,Sunglasses Gleam,Sunglasses Gleam,墨镜反光,墨鏡反光,Sonnenbrillen glänzen,gafas de sol brillan,Lunettes de Soleil,Napszemüveg Gleam,サングラス（キラーン）,선글라스 글림,Солнцезащитные очки,Óculos de sol brilham,Сонцезахисні окуляри Gleam,Gli occhiali da sole brillano,แว่นกันแดดกลิตเตอร์,Güneş Gözlüğü Parıltısı,Solglasögon Gleam,Slnečné okuliare Gleam
ANIM/Sunglasses-PixelGleam,Sunglasses Pixel Gleam,Sunglasses Pixel Gleam,像素墨镜反光,畫素墨鏡反光,Sonnenbrille Pixel Gleam,Gafas de sol Pixel Brillo,Lunettes de Soleil Pixel,Pixel Gleam napszemüveg,サングラス（ドット）（キラーン）,선글라스 픽셀 글림,Солнцезащитные очки Pixel Gleam,Óculos de sol Pixel Gleam,Сонцезахисні окуляри Pixel Gleam,Occhiali da sole Pixel Gleam,แว่นกันแดด Pixel Gleam,Güneş Gözlüğü Pixel Parıltı,Solglasögon Pixel Gleam,Slnečné okuliare Pixel Gleam
ANIM/Sunglasses-Remove,Sunglasses Remove,Sunglasses Remove,摘掉墨镜,摘掉墨鏡,Sonnenbrille entfernen,Quitar gafas de sol,Enlever Lunettes de Soleil,Távolítsa el a napszemüveget,サングラスを外す,선글라스 제거,Солнцезащитные очки снять,Óculos de sol remover,Зняти сонцезахисні окуляри,Occhiali da sole Rimuovi,ถอดแว่นกันแดด,Güneş Gözlüğünü Çıkar,Ta bort solglasögon,Odstráňte slnečné okuliare
ANIM/Swatter,Swatter,Swatter,拍蝇,拍蠅,Fliegenklatsche,Palmeta matamoscas,Tapette à Mouche,Légycsapó,ハエたたき,찰싹 때리는 사람,Сваттер,mata-mata,Бійка,Schiacciamento,ไม้ตี,Sineklik,Swatter,Splácačka
ANIM/Tape,Tape,Tape,胶带,膠帶,Band,Cinta,Ruban Adhésif,Szalag,テープ,줄자,Лента,Fita,Tape,Nastro,เทป,Bant,Tejpa,páska
ANIM/TrashBin,Trash Bin,Trash Bin,垃圾桶,垃圾桶,Mülleimer,Papelera,Poubelle,Szemeteskosár,ゴミ箱,쓰레기통,мусорное ведро,Lixeira,Відро для сміття,Cestino,ถังขยะ,Çöp Kutusu,Papperskorgen,Odpadkový kôš
ANIM/TrashTuber-Idle,TrashTuber Idle,TrashTuber Idle,TrashTuber 闲置,TrashTuber 閒置,TrashTuber im Leerlauf,TrashTuber inactivo,TrashTuber Inactif,TrashTuber Idle,TrashTuber 待機,TrashTuber 유휴 상태,TrashTuber Простой,TrashTuber ocioso,TrashTuber не працює,TrashTuber Inattivo,ถังขยะไม่ได้ใช้งาน,Çöp Tuber Sabit,TrashTuber tomgång,TrashTuber Idle
ANIM/TrashTuber-Talk,TrashTuber Talk,TrashTuber Talk,TrashTuber 说话,TrashTuber 說話,TrashTuber-Talk,Charla de TrashTuber,TrashTuber Parler,TrashTuber Talk,TrashTuber トーク,TrashTuber 토크,TrashTuber Talk,Conversa sobre TrashTuber,Обговорення TrashTuber,Discorso su TrashTuber,ถังขยะพูดคุย,Çöp Tuber Konuş,TrashTuber Talk,TrashTuber Talk
ANIM/TrashTuber-Yap,TrashTuber Yap,TrashTuber Yap,TrashTuber 说教,TrashTuber 說教,TrashTuber Yap,TrashTuber Yap,TrashTuber Jacasser,TrashTuber Yap,TrashTuber おしゃべり,TrashTuber 얍,TrashTuber Яп,TrashTuber Yap,TrashTuber Яп,TrashTuber Già,ถังขยะ ยัป,Çöp Tuber Boş Yap,TrashTuber Yap,TrashTuber Yap
ANIM/Cheers,Cheers,Cheers,干杯,乾杯,Prost,Salud,Acclamations,Egészségére,乾杯,건배,Ваше здоровье,Saúde,Ура,Saluti,ไชโย,Şerefe,Skål,Na zdravie
ANIM/Dance-1,Dance 1,Dance 1,跳舞 1,跳舞 1,Tanz 1,Danza 1,Danse 1,Tánc 1,ダンス 1,댄스 1,Танец 1,Dança 1,Танець 1,Danza 1,เต้นรำ 1,Dans 1,Dans 1,Tanec 1
ANIM/Dance-Caramelldansen,Dance (Caramelldansen),Dance (Caramelldansen),跳舞(Caramelldansen),跳舞 (Caramelldansen),Tanz (Caramelldansen),Danza (Caramelldansen),Danse (Caramelldansen),Tánc (Caramelldansen),ダンス（キャラメルダンセン）,댄스(카라멜단센),Танец (Карамельдансен),Dança (Caramelldansen),Танець (Caramelldansen),Danza (Caramelldansen),เต้นรำ (คาราเมลแดนเซน),Dans (Caramelldansen),Dans (Caramelldansen),tanec (Caramelldansen)
ANIM/Dance-Helltaker,Dance (Helltaker),Dance (Helltaker),跳舞(Helltaker),跳舞(Helltaker),Tanz (Helltaker),Danza (Helltaker),Danse (Helltaker),Tánc (Helltaker),ダンス（ヘルテイカー）,댄스(헬테이커),Танец (Helltaker),Dança (Helltaker),Танець (Helltaker),Danza (Helltaker),เต้นรำ (เฮลเทคเกอร์),Dans (Helltaker),Dans (Helltaker),Tanec (Helltaker)
ANIM/Dance-LowCortisol,Dance (Low Cortisol),Dance (Low Cortisol),跳舞(低皮质醇),跳舞(低皮質醇),Tanzen (niedriger Cortisolspiegel),Danza (bajo cortisol),Danse (Faible Taux de Cortisol),Tánc (alacsony kortizolszint),ダンス（低コルチゾール）,댄스(낮은 코르티솔),Танец (низкий уровень кортизола),Dança (baixo cortisol),Танці (низький кортизол),Danza (cortisolo basso),เต้นรำ (คอร์ติซอลต่ำ),Dans (Low Cortisol),Dans (lågt kortisol),Tanec (nízky kortizol)
ANIM/Eat-Donut,Eat (Donut),Eat (Donut),吃(甜甜圈),喫(甜甜圈),Essen (Donut),comer (rosquilla),Manger (Donut),Egyél (fánk),食べる（ドーナツ）,먹다(도넛),Ешь (пончик),Coma (rosquinha),Їсти (пончик),Mangia (ciambella),กิน (โดนัท),Yemek (Çörek),Ät (munk),Jesť (šiška)
ANIM/Eat-Popcorn,Eat (Popcorn),Eat (Popcorn),吃(爆米花),喫(爆米花),Essen (Popcorn),Comer (palomitas de maíz),Manger (Pop-Corn),Egyél (pattogatott kukorica),食べる（ポップコーン）,먹다 (팝콘),Ешьте (попкорн),Comer (pipoca),Їсти (попкорн),Mangiare (Popcorn),กิน (ป๊อปคอร์น),Yemek (Patlamış mısır),Ät (popcorn),Jesť (popcorn)
ANIM/Eat-Watermelon,Eat (Watermelon),Eat (Watermelon),吃(西瓜),喫(西瓜),Essen (Wassermelone),Comer (sandía),Manger (Pastèque),Egyél (görögdinnye),食べる（スイカ）,먹다(수박),Ешьте (арбуз),Coma (melancia),Їсти (кавун),Mangia (anguria),กิน (แตงโม),Yemek (Karpuz),Ät (vattenmelon),Jesť (vodný melón)
ANIM/Game,Game,Game,打游戏,打遊戲,Spiel,Juego,Jouer,Játék,ゲーム,게임,Игра,Jogo,Гра,Gioco,เกม,Oyun,Spel,Hra
ANIM/Greeting-1,Greeting 1,Greeting 1,打招呼 1,打招呼 1,Begrüßung 1,Saludo 1,Salutation 1,Üdvözlet 1,あいさつ 1,인사말 1,Приветствие 1,Saudação 1,Вітання 1,Saluto 1,คำทักทาย 1,Selamlama 1,Hälsning 1,Pozdrav 1
ANIM/Greeting-2,Greeting 2,Greeting 2,打招呼 2,打招呼 2,Begrüßung 2,Saludo 2,Salutation 2,Üdvözlet 2,あいさつ 2,인사말 2,Приветствие 2,Saudação 2,Вітання 2,Saluto 2,คำทักทาย 2,Selamlama 2,Hälsning 2,Pozdrav 2
ANIM/Sparkling-1,Sparkling 1,Sparkling 1,期待 1,期待 1,Funkelnd 1,Espumoso 1,Pétillant 1,Szikrázó 1,キラキラ 1,스파클링 1,Игристое 1,Espumante 1,Ігристе 1,Frizzante 1,เปล่งประกาย 1,Pasparlak 1,Glittrande 1,Šumivé 1
ANIM/Sparkling-2,Sparkling 2,Sparkling 2,期待 2,期待 2,Funkelnd 2,Espumoso 2,Pétillant 2,Szikrázó 2,キラキラ 2,스파클링 2,Игристое 2,Espumante 2,Ігристе 2,frizzante 2,ประกาย 2,Pasparlak 2,Glittrande 2,Šumivé 2
ANIM/Think-Confident,Think (Confident),Think (Confident),思考(自信地),思考（自信地）,Denken (selbstbewusst),Piensa (Confiado),Réfléchir (Confiant),Gondolkodj (Magabiztos),考える（自信あり）,생각하다(자신감),Подумай (Уверенно),Pense (Confiante),Подумай (впевнено),Pensa (fiducioso),คิด(มั่นใจ),Düşün (Kendinden emin),Tänk (säkert),Myslite (s istotou)
ANIM/Think-Serious,Think (Serious),Think (Serious),思考(认真地),思考（認真地）,Denken Sie (ernsthaft),Piensa (en serio),Réfléchir (Sérieux),Gondolkozz (komolyan),考える（ロード中）,생각해보세요 (진지하게),Подумай (Серьезно),Pense (sério),Подумай (серйозно),Pensa (sul serio),คิดถึง (จริงจัง),Düşün (Ciddi),Tänk (allvarligt),Myslieť (vážne)
ANIM/Alert-Custom,Alert Custom,Alert Custom,通知/自定义,警報自訂,Benutzerdefiniert benachrichtigen,Alerta personalizada,Alerte personnalisée,Egyéni figyelmeztetés,アラートカスタム,알림 사용자 정의,Пользовательское оповещение,Alerta personalizado,Спеціальне сповіщення,Avviso personalizzato,การแจ้งเตือนแบบกำหนดเอง,Özel Uyarı,Alert Custom,Upozornenie Vlastné
ANIM/Button,Button,Button,按钮,按鈕,Taste,Botón,Bouton,Gomb,ボタン,단추,Кнопка,Botão,Кнопка,Pulsante,ปุ่ม,Düğme,Knapp,Tlačidlo
ANIM/CardSwipe,Card Swipe,Card Swipe,刷卡,刷卡,Kartendurchzug,Deslizar tarjeta,Glissement de carte,Kártya ellop,カードスワイプ,카드 스와이프,Проведение карты,Deslize o cartão,Свайп картки,Scorrimento della carta,รูดบัตร,Kart Kaydırma,Kortsvep,Potiahnutie karty
ANIM/CokeShake,Coke Shake,Coke Shake,摇可乐,可樂奶昔,Cola-Shake,batido de coca cola,Coca-Shake,Coke Shake,コークシェイク,콜라쉐이크,Кокс-коктейль,Coca-Cola Shake,Кока-кола шейк,Coca-Cola Shake,โค้กเชค,Kola Shake,Cola Shake,Coca Shake
ANIM/Dance-Scuba,Dance (Scuba),Dance (Scuba),舞蹈(散味),舞蹈（水肺）,Tanz (Tauchen),Danza (buceo),Danse (plongée),Tánc (búvárkodás),ダンス（スキューバ）,댄스(스쿠버),Танец (Подводное плавание),Dança (mergulho),Танець (підводне плавання),Danza (immersioni),เต้นรำ (ดำน้ำ),Dans (Tüplü),Dans (Scuba),tanec (potápanie)
ANIM/Gift-1,Gift 1,Gift 1,礼物 1,禮物1,Geschenk 1,Regalo 1,Cadeau 1,Ajándék 1,ギフト1,선물 1,Подарок 1,Presente 1,Подарунок 1,Regalo 1,ของขวัญ 1,Hediye 1,Gåva 1,Darček 1
ANIM/Gift-2,Gift 2,Gift 2,礼物 2,禮物2,Geschenk 2,Regalo 2,Cadeau 2,Ajándék 2,ギフト2,선물 2,Подарок 2,Presente 2,Подарунок 2,Regalo 2,ของขวัญ 2,Hediye 2,Gåva 2,Darček 2
ANIM/Magic,Magic,Magic,魔法,魔法,Magie,Magia,Magie,Mágikus,魔法,마법,Магия,Magia,Магія,Magia,มายากล,Büyü,Magi,Mágia
ANIM/Reverse,Reverse,Reverse,反转,反向,Umkehren,Contrarrestar,Inverse,Fordított,逆行する,뒤집다,Обеспечить регресс,Reverter,Зворотний,Inversione,ย้อนกลับ,Tersi,Motsatt,Obrátené
ANIM/Scared-1,Scared 1,Scared 1,害怕 1,害怕 1,Angst 1,Asustado 1,Peur 1,Félek 1,怖い1,무서워 1,Испугался 1,Assustado 1,Наляканий 1,Spaventato 1,กลัว 1,Korkmuş 1,Rädd 1,Vystrašený 1
ANIM/Scared-2,Scared 2,Scared 2,害怕 2,害怕2,Angst 2,Asustado 2,Peur 2,Félek 2,怖い2,무서워 2,Испуганный 2,Assustado 2,Наляканий 2,Spaventato 2,กลัว2,Korkmuş 2,Rädd 2,Vystrašený 2
ANIM/SixSeven,Six Seven,Six Seven,六七,六七,Sechs Sieben,seis siete,Six Sept,Hat hét,シックスセブン,식스세븐,Шесть Семь,Seis Sete,Шість Сім,Sei Sette,หกเจ็ด,Altı Yedi,Sex sju,Šesť Sedem
ANIM/SixSeven-Dum,Six Seven (Dum),Six Seven (Dum),六七(呆),六七（達姆）,Sechs Sieben (Dum),Seis Siete (tonto),Six Sept (Dum),Six Seven (Dum),シックスセブン (ダム),식스세븐(덤),Шесть Семь (Дум),Seis Sete (Dum),Шість Сім (Дум),Sei Sette (Dum),ซิกเซเว่น (ดัม),Altı Yedi (Dum),Six Seven (Dum),Šesť sedem (Dum)
ANIM/TakeMyMoney,Take My Money,Take My Money,拿走我的钱,拿走我的錢,Nimm mein Geld,toma mi dinero,Prends mon argent,Vegye el a pénzemet,テイク・マイ・マネー,내 돈을 가져가세요,Возьми мои деньги,Pegue meu dinheiro,Візьми мої гроші,Prendi i miei soldi,เอาเงินของฉันไป,Paramı Al,Ta mina pengar,Vezmite si moje peniaze
ANIM/CheeseSlap,Cheese Slap,Cheese Slap,奶酪糊脸,起司拍打,Käseklatsch,Bofetada de queso,Gifle au fromage,Sajtos pofon,チーズスラップ,치즈슬랩,Сырная пощечина,Tapa De Queijo,Сирний ляпас,Schiaffo al formaggio,ตบชีส,Peynir Tokadı,Ost Slap,Syrová facka
ANIM/Clown-1,Clown 1,Clown 1,小丑 1,小丑1,Clown 1,payaso 1,Clown 1,Bohóc 1,ピエロ 1,광대 1,Клоун 1,Palhaço 1,Клоун 1,Pagliaccio 1,ตัวตลก 1,Palyaço 1,Clown 1,Klaun 1
ANIM/Clown-2,Clown 2,Clown 2,小丑 2,小丑2,Clown 2,payaso 2,Clown 2,Bohóc 2,ピエロ2,광대 2,Клоун 2,Palhaço 2,Клоун 2,Pagliaccio 2,ตัวตลก 2,Palyaço 2,Clown 2,Klaun 2
ANIM/ElectricFan-1,Electric Fan 1,Electric Fan 1,电风扇 1,電風扇1,Elektrischer Ventilator 1,Ventilador eléctrico 1,Ventilateur électrique 1,Elektromos ventilátor 1,扇風機1,선풍기 1,Электрический вентилятор 1,Ventilador Elétrico 1,Електричний вентилятор 1,Ventilatore elettrico 1,พัดลมไฟฟ้า 1,Elektrikli Vantilatör 1,Elektrisk fläkt 1,Elektrický ventilátor 1
ANIM/ElectricFan-2,Electric Fan 2,Electric Fan 2,电风扇 2,電風扇2,Elektrischer Ventilator 2,Ventilador eléctrico 2,Ventilateur électrique 2,Elektromos ventilátor 2,扇風機2,선풍기 2,Электрический вентилятор 2,Ventilador Elétrico 2,Електричний вентилятор 2,Ventilatore elettrico 2,พัดลมไฟฟ้า 2,Elektrikli Vantilatör 2,Elektrisk fläkt 2,Elektrický ventilátor 2
ANIM/Fire-1,Fire 1,Fire 1,烧 1,火1,Feuer 1,Fuego 1,Feu 1,Tűz 1,ファイア1,화재 1,Огонь 1,Fogo 1,Пожежа 1,Fuoco 1,ไฟ 1,Ateş 1,Brand 1,Oheň 1
ANIM/Fire-2,Fire 2,Fire 2,烧 2,火2,Feuer 2,Fuego 2,Feu 2,Tűz 2,ファイア2,화재 2,Огонь 2,Fogo 2,Пожежа 2,Fuoco 2,ไฟ 2,Ateş 2,Eld 2,Oheň 2
ANIM/FoldingFans,Folding Fans,Folding Fans,折扇,折扇,Faltfächer,Abanicos plegables,Ventilateurs pliants,Összecsukható ventilátorok,扇子,접는 부채,Складные веера,Ventiladores dobráveis,Складні віяла,Ventagli pieghevoli,พัดลมพับ,Katlanır Vantilatörler,Fällbara fläktar,Skladacie ventilátory
ANIM/GetHit-Bits,Get Hit (Bits),Get Hit (Bits),被击中(Bits),受到打擊（位）,Lass dich treffen (Bits),Recibe un golpe (bits),Être touché (Bits),Ütés (bitek),ヒットする (ビット),히트 (비트),Получить удар (биты),Seja atingido (bits),Отримати удар (біти),Ottieni colpi (bit),ได้รับการตี (บิต),İsabet Alın (Bit),Bli träffad (bitar),Získať zásah (bity)
ANIM/GetHit-Coin,Get Hit (Coin),Get Hit (Coin),被击中(硬币),被擊中（金幣）,Get Hit (Münze),Obtener golpe (moneda),Être touché (pièce de monnaie),Ütés (érme),ヒットする(コイン),히트 (코인),Получить удар (монета),Seja atingido (moeda),Отримати удар (монета),Ottieni il colpo (moneta),รับ Hit (เหรียญ),İsabet Alın (Para),Bli träffad (mynt),Získajte zásah (minca)
ANIM/GetHit-Custom,Get Hit (Custom),Get Hit (Custom),被击中(自定义),受到打擊（自訂）,Get Hit (Benutzerdefiniert),Recibir golpe (personalizado),Être touché (personnalisé),Ütés (egyéni),ゲットヒット(カスタム),적중(커스텀),Получить удар (по индивидуальному заказу),Ser atingido (personalizado),Отримати удар (на замовлення),Ottieni un colpo (personalizzato),รับ Hit (กำหนดเอง),İsabet Alın (Özel),Bli träffad (anpassad),Získať zásah (vlastné)
ANIM/GetHit-Heart,Get Hit (Heart),Get Hit (Heart),被击中(爱心),受到打擊（心）,Lass dich treffen (Herz),Recibir un golpe (corazón),Être touché (cœur),Ütés (szív),ヒット(ハート),히트 (하트),Получить удар (сердце),Seja atingido (coração),Отримати удар (серце),Fatti colpire (cuore),โดนตี (หัวใจ),Vurul (Kalp),Bli träffad (hjärta),Dostať zásah (srdce)
ANIM/GetHit-Slipper,Get Hit (Slipper),Get Hit (Slipper),被击中(拖鞋),被擊中（拖鞋）,Get Hit (Slipper),Obtener golpe (zapatilla),Être touché (pantoufle),Ütés (papucs),ヒット（スリッパ）,히트 (슬리퍼),Получить удар (тапочки),Seja atingido (chinelo),Get Hit (Slipper),Fatti colpire (pantofola),รับตี (รองเท้าแตะ),Vurul (Terlik),Bli påkörd (tofflor),Zasiahnuť (papuča)
ANIM/Guitar,Guitar,Guitar,吉他,吉他,Gitarre,Guitarra,Guitare,Gitár,ギター,기타,Гитара,Guitarra,гітара,Chitarra,กีตาร์,Gitar,Gitarr,Gitara
ANIM/Slipper-1,Slipper 1,Slipper 1,拖鞋 1,拖鞋1,Pantoffel 1,Zapatilla 1,Pantoufle 1,Papucs 1,スリッパ1,슬리퍼 1,Тапочки 1,Chinelo 1,Тапочок 1,Pantofola 1,รองเท้าแตะ 1,Terlik 1,Tofflor 1,Papuča 1
ANIM/Slipper-2,Slipper 2,Slipper 2,拖鞋 2,拖鞋2,Pantoffel 2,Zapatilla 2,Pantoufle 2,Papucs 2,スリッパ2,슬리퍼 2,Тапочки 2,Chinelo 2,Тапочок 2,Pantofola 2,รองเท้าแตะ 2,Terlik 2,Tofflor 2,Papuča 2
ANIM/Sunglasses-Loop,Sunglasses Loop,Sunglasses Loop,墨镜循环,墨鏡環,Sonnenbrillenschlaufe,Lazo de gafas de sol,Boucle de lunettes de soleil,Napszemüveg hurok,サングラスループ,선글라스 루프,Петля для солнцезащитных очков,Loop de óculos de sol,Сонцезахисні окуляри Loop,Anello per occhiali da sole,ห่วงแว่นกันแดด,Güneş Gözlüğü Döngüsü,Solglasögon Loop,Slučka na slnečné okuliare
ANIM/ThisIsFine-1,This Is Fine 1,This Is Fine 1,一切都好 1,這很好 1,Das ist in Ordnung 1,Esto está bien 1,C'est bien 1,Ez jó 1,これでいい 1,이건 괜찮아 1,это нормально 1,Isso é bom 1,Це добре 1,Questo va bene 1,นี่ก็ดีแล้ว 1,Bu iyi 1,Det här är bra 1,Toto je v pohode 1
ANIM/ThisIsFine-2,This Is Fine 2,This Is Fine 2,一切都好 2,這很好2,Das ist in Ordnung 2,Esto está bien 2,C'est bien 2,Ez jó 2,This Is Fine 2,괜찮아요 2,Это нормально 2,Isso está bem 2,Це добре 2,Va bene 2,นี่ก็โอเค 2,Bu Güzel 2,Det här är bra 2,Toto je v pohode 2
ANIM/ThisIsFine-3,This Is Fine 3,This Is Fine 3,一切都好 3,這很好 3,Das ist in Ordnung 3,Esto está bien 3,C'est bien 3,Ez jó 3,これでいい 3,괜찮아요 3,Это нормально 3,Isso está bem 3,Це добре 3,Questo va bene 3,นี่ก็ดีแล้ว 3,Bu Güzel 3,Det här är bra 3,Toto je v pohode 3
ANIM/Wink,Wink,Wink,眨眼,眨眼,Zwinkern,Guiño,Clin d'œil,Kacsints,ウィンク,눈짓,Подмигивание,Piscar,Підморгнути,Ammiccamento,ขยิบตา,Göz kırp,Blinkning,Žmurkanie
ANIM/Blep-1,Blep 1,Blep 1,吐舌 1,貝爾普 1,Blep 1,Blep 1,Bip 1,Blep 1,ブリープ 1,벨렙 1,Блеп 1,Blep 1,Блеп 1,Bip 1,เบลพ 1,Bip 1,Blep 1,Blep 1
ANIM/Blep-2,Blep 2,Blep 2,吐舌 2,貝爾普2,Blep 2,Blep 2,Blep 2,Blep 2,ブリープ 2,벨렙 2,Блеп 2,Blep 2,Блеп 2,Bip 2,เบลพ 2,Bip 2,Blep 2,Blep 2
ANIM/Blep-3,Blep 3,Blep 3,吐舌 3,貝爾普 3,Piepton 3,Blep 3,Blep 3,Blep 3,ブリープ 3,벨렙 3,Блэп 3,Blep 3,Блеп 3,Bip 3,เบลพ 3,Bip 3,Blep 3,Blep 3
